London Borough,area in square kilometers borough,population 2021 borough,population square kilometers borough,inner outer london,region,borough,station,station_code,adress,lat,long,html,population 2021 station,area in square kilometers station
Ealing,55.53,366127.0,6593.0,0.0,north_west,Ealing,Ealing,G25,"60-64 Uxbridge Road, W13 8RA",51.51217,-0.3137,https://www.london-fire.gov.uk/community/ealing/,91532,14
Ealing,55.53,366127.0,6593.0,0.0,north_west,Ealing,Northolt,G31,"74 Petts Hill, UB5 4JT",51.55491,-0.35947,https://www.london-fire.gov.uk/community/ealing/,91532,14
Enfield,80.84,329601.0,4077.0,0.0,north_west,Enfield,Edmonton,A34,"99 Church Street, N9 9AA",51.62735,-0.06927,https://www.london-fire.gov.uk/community/enfield/,109867,27
Enfield,80.84,329601.0,4077.0,0.0,north_west,Enfield,Southgate,A36,"96 High Street, N14 6BN",51.6306,-0.12754,https://www.london-fire.gov.uk/community/enfield/,109867,27
Enfield,80.84,329601.0,4077.0,0.0,north_west,Enfield,Enfield,A35,"93 Carterhatch Lane, EN1 4LA",51.660474,-0.051915,https://www.london-fire.gov.uk/community/enfield/,109867,27
Haringey,29.59,264130.0,8926.0,0.0,north_west,Haringey,Hornsey,A32,"108 Park Avenue South, N8 8LS",51.58665,-0.12698,https://www.london-fire.gov.uk/community/haringey/,132065,15
Haringey,29.59,264130.0,8926.0,0.0,north_west,Haringey,Tottenham,A33,"49 St Loys Road, N17 6UE",51.59264,-0.07164,https://www.london-fire.gov.uk/community/haringey/,132065,15
Harrow,50.47,260987.0,5171.0,0.0,north_west,Harrow,Harrow,G21,"500 Pinner Road, HA5 5RW",51.59096,-0.36634,https://www.london-fire.gov.uk/community/harrow/,130494,25
Harrow,50.47,260987.0,5171.0,0.0,north_west,Harrow,Stanmore,G22,"650 Honeypot Lane, HA7 1JS",51.60376,-0.29748,https://www.london-fire.gov.uk/community/harrow/,130494,25
Havering,112.27,262022.0,2334.0,0.0,north_east,Havering,Wennington,F40,Wennington Road RM13 9EE,51.5064084,0.2204125,https://www.london-fire.gov.uk/community/havering/,65506,28
Havering,112.27,262022.0,2334.0,0.0,north_east,Havering,Hornchurch,F39,"42 North Street, RM11 1SH",51.564543,0.220518,https://www.london-fire.gov.uk/community/havering/,65506,28
Havering,112.27,262022.0,2334.0,0.0,north_east,Havering,Romford,F38,"198 Pettits Boulevard , RM1 4PL",51.593238,0.183295,https://www.london-fire.gov.uk/community/havering/,65506,28
Havering,112.27,262022.0,2334.0,0.0,north_east,Havering,Harold Hill,F57,"Units 7 - 9 Falcon Business Centre Ashton Road Romford, RM3 8UN",51.598285,0.2238306,https://www.london-fire.gov.uk/community/havering/,65506,28
Hillingdon,115.7,304792.0,2634.0,0.0,north_west,Hillingdon,Heathrow,G56,"Building 450, Heathrow airport Northern Perimetre Road, Longford, TW6 2RR",51.4803,-0.45864,https://www.london-fire.gov.uk/community/hillingdon/,76198,29
Hillingdon,115.7,304792.0,2634.0,0.0,north_west,Hillingdon,Hayes,G40,"65 Shepiston Lane , UB3 1LL",51.49459,-0.43159,https://www.london-fire.gov.uk/community/hillingdon/,76198,29
Hillingdon,115.7,304792.0,2634.0,0.0,north_west,Hillingdon,Hillingdon,G23,"Uxbridge Road, UB10 0PH",51.53228,-0.45221,https://www.london-fire.gov.uk/community/hillingdon/,76198,29
Hillingdon,115.7,304792.0,2634.0,0.0,north_west,Hillingdon,Ruislip,G32,"Bury Street, HA4 7TW",51.588423,-0.43649005,https://www.london-fire.gov.uk/community/hillingdon/,76198,29
Hounslow,55.99,287940.0,5143.0,0.0,north_west,Hounslow,Feltham,G39,"101 Faggs Road, NW1 0LH",51.46076,-0.41383,https://www.london-fire.gov.uk/community/hounslow/,95980,19
Hounslow,55.99,287940.0,5143.0,0.0,north_west,Hounslow,Heston,G38,"520 London Road, Isleworth Middlesex, TW7 4HR",51.47492,-0.3431,https://www.london-fire.gov.uk/community/hounslow/,95980,19
Hounslow,55.99,287940.0,5143.0,0.0,north_west,Hounslow,Chiswick,G37,"2-4 Heathfield Gardens, W4 4JY",51.49061,-0.26903,https://www.london-fire.gov.uk/community/hounslow/,95980,19
Kingston upon Thames,37.25,167845.0,4506.0,0.0,south_west,Kingston upon Thames,Surbiton,H39,"31/33 Ewell Road Surbiton, Oakhill KT6 6AF",51.3922498,-0.3005909,https://www.london-fire.gov.uk/community/kingston-upon-thames/,55948,12
Kingston upon Thames,37.25,167845.0,4506.0,0.0,south_west,Kingston upon Thames,New Malden,H40,"180 Burlington Road, KT3 4RW",51.3991327,-0.2479471,https://www.london-fire.gov.uk/community/kingston-upon-thames/,55948,12
Kingston upon Thames,37.25,167845.0,4506.0,0.0,south_west,Kingston upon Thames,Kingston,H41,"390 Richmond Road, KT2 5PR",51.4293729,-0.3091976,https://www.london-fire.gov.uk/community/kingston-upon-thames/,55948,12
Merton,37.61,215324.0,5725.0,0.0,south_west,Merton,Mitchem,H36,"421-445 London Rd, Mitcham CR4 4BJ",51.402038,-0.1558642,https://www.london-fire.gov.uk/community/merton/,107662,19
Merton,37.61,215324.0,5725.0,0.0,south_west,Merton,Wimbledon,H34,"87 Kingston Rd, London SW19 1JN",51.4155428,-0.1975317,https://www.london-fire.gov.uk/community/merton/,107662,19
Newham,36.22,350626.0,9680.0,0.0,north_east,Newham,Plaistow,F45,"145 Prince Regent Lane, E13 8SG",51.520068,0.031699,https://www.london-fire.gov.uk/community/newham/,116875,12
Newham,36.22,350626.0,9680.0,0.0,north_east,Newham,East Ham,F44,"210 High Street South, E6 3RS",51.523548,0.056981,https://www.london-fire.gov.uk/community/newham/,116875,12
Newham,36.22,350626.0,9680.0,0.0,north_east,Newham,Stratford,F21,"117 Romford Road, E15 4EH",51.54321,0.011631,https://www.london-fire.gov.uk/community/newham/,116875,12
Redbridge,56.41,309836.0,5493.0,0.0,north_east,Redbridge,Ilford,F42,"460 High Road, IG1 1UE",51.562624,0.091493,https://www.london-fire.gov.uk/community/redbridge/,103279,19
Redbridge,56.41,309836.0,5493.0,0.0,north_east,Redbridge,Hainault,F37,"368 - 388 New North Road, IG6 3DY",51.605945,0.10283,https://www.london-fire.gov.uk/community/redbridge/,103279,19
Redbridge,56.41,309836.0,5493.0,0.0,north_east,Redbridge,Woodford,F35,"2 Snakes Lane, IG8 0BS",51.60883,0.026243,https://www.london-fire.gov.uk/community/redbridge/,103279,19
Richmond upon Thames,57.41,195232.0,3401.0,0.0,south_west,Richmond upon Thames,Twickenham,H43,"30 South Rd, Twickenham TW2 5NT",51.4674071,-0.3199681,https://www.london-fire.gov.uk/community/richmond-upon-thames/,97616,29
Richmond upon Thames,57.41,195232.0,3401.0,0.0,south_west,Richmond upon Thames,Richmond,H42,"323 Lower Richmond Rd., Richmond TW9 4PN",51.4674124,-0.2849489,https://www.london-fire.gov.uk/community/richmond-upon-thames/,97616,29
Sutton,43.85,209517.0,4778.0,0.0,south_east,Sutton,Wallington,H37,"19 Belmont Road, SM6 8TE",51.36242334,-0.14837595,https://www.london-fire.gov.uk/community/sutton/,104758,22
Sutton,43.85,209517.0,4778.0,0.0,south_east,Sutton,Sutton,H38,"43 St Dunstans Hill, SM1 2JX",51.36904525,-0.21119305,https://www.london-fire.gov.uk/community/sutton/,104758,22
Waltham Forest,38.82,278050.0,7163.0,0.0,north_east,Waltham Forest,Leytonstone,F30,"466 High Street, E11 3HN",51.560346,0.0079829,https://www.london-fire.gov.uk/community/waltham-forest/,69512,10
Waltham Forest,38.82,278050.0,7163.0,0.0,north_east,Waltham Forest,Leyton,F29,"90B Church Road, E10 5HG",51.564005,-0.017636,https://www.london-fire.gov.uk/community/waltham-forest/,69512,10
Waltham Forest,38.82,278050.0,7163.0,0.0,north_east,Waltham Forest,Walthamstow,F36,"343 Forest Road, E17 5JR",51.58989,-0.027524,https://www.london-fire.gov.uk/community/waltham-forest/,69512,10
Waltham Forest,38.82,278050.0,7163.0,0.0,north_east,Waltham Forest,Chingford,F34,"34 The Ridgeway, E4 6PP",51.63059,-0.003044,https://www.london-fire.gov.uk/community/waltham-forest/,69512,10
City,2.9,8618.0,2972.0,1.0,north_east,City,Dowgate,A28,"94-95 Upper Thames Street, EC4R 3UE",51.510003,-0.090206,https://www.london-fire.gov.uk/community/the-city-of-london/,8618,3
Westminster,21.48,205087.0,9548.0,1.0,south_west,Westminster,Soho,A24,"126 Shaftesbury Ave, London W1D 5ET",51.512614,-0.1319784,https://www.london-fire.gov.uk/community/westminster/,102544,11
Westminster,21.48,205087.0,9548.0,1.0,south_west,Westminster,Paddington,A21,"156 Harrow Rd, London W2 6NL",51.5202041,-0.183022,https://www.london-fire.gov.uk/community/westminster/,102544,11
Wandsworth,34.26,328367.0,9585.0,1.0,south_west,Wandsworth,Wandsworth,H33,"45 West Hill, London SW18 1RL",51.4378592,-0.1802274,https://www.london-fire.gov.uk/community/wandsworth/,109456,11
Wandsworth,34.26,328367.0,9585.0,1.0,south_west,Wandsworth,Tooting,H35,"89 Trinity Rd, Tooting Bec, London SW17 7SQ",51.4380528,-0.1654001,https://www.london-fire.gov.uk/community/wandsworth/,109456,11
Wandsworth,34.26,328367.0,9585.0,1.0,south_west,Wandsworth,Battersea,H27,"11 Este Rd, London SW11 2TL",51.4671185,-0.1876668,https://www.london-fire.gov.uk/community/wandsworth/,109456,11
